S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
12-29.,4166.3,4166.9,0.85,0.68,0.08,2.79,9.9,66.2,0
12-31.,4168.1,4168.9,2.31,2.04,0.2,2.77,9.1,85.8,0
12-33.,4170.1,4170.9,3.01,2.88,0.2,2.79,11.5,66.6,0
12-35.,4172.4,4172.9,4.7,3.63,3.51,2.78,7.8,40.7,0
12-37.,4174.5,4175,73.99,58.84,0.09,2.8,7.5,55.3,0
12-39.,4176.2,4176.8,0.54,0.27,<.01,2.78,6.4,67.8,0
12-41.,4178.3,4178.9,0.83,0.65,10.49,2.83,3.7,65,0
12-43.,4180.2,4180.6,3.22,0.47,<.01,2.81,2.7,20.5,0
12-45.,4182.55,4182.9,0.78,0.27,8.57,2.83,1.1,78.6,0
12-47.,4184.4,4184.75,8.99,1.62,<.01,2.83,5.9,31.3,0
13-2,4186,4186.6,1.99,1.48,0.55,2.82,4.8,14.5,0
13-3,4187.3,4187.6,0.69,0.61,0.02,2.83,3.2,15.5,0
13-4,4188.8,4189,5.12,4,0.61,2.84,4.8,5.4,0
13-6,4190.4,4191,1.68,1.33,0.23,2.82,5.4,12.3,0
13-8,4192.3,4192.9,0.06,0.05,<.01,2.81,5.5,30.1,0
13-9,4193.5,4193.9,13.38,11.31,10.47,2.82,5.3,17.6,0
13-10,4194,4194.55,2.23,2.14,0.01,2.83,4.5,8.7,0
13-11,4195.3,4196,7.95,4.81,1.11,2.82,5.1,26.7,0
13-12,4196.7,4197,1.12,0.85,<.01,2.81,4.9,29.2,0
13-14,4198,4198.6,0.46,0.41,<.01,2.81,6.1,17.2,0
13-16,4200,4200.6,0.22,0.17,0.01,2.82,5.8,24.4,0
13-18,4202.4,4203,27.85,27.6,1.97,2.82,7.7,20.2,0
13-20,4204.4,4205,0.64,0.57,<.01,2.81,5.8,42.1,0
13-22,4206,4206.4,2.77,1.42,0.43,2.81,4.8,18.6,0
13-23,4207.2,4207.85,10.18,7.22,2.18,2.82,8.3,33.7,0
13-24,4208,4208.6,3.52,2.49,0.04,2.81,7.6,28.4,0
13-26,4210,4210.6,17.1,7.64,3.97,2.82,5.4,17.5,0
13-28,4212.05,4212.55,20.31,10.6,4.67,2.82,9.5,17.8,0
13-29,4213.1,4213.75,57.63,51.56,60.69,2.62,5.2,49.7,0
13-32,4216,4216.6,8.42,4.38,0.01,2.82,3.6,16.3,0
13-34,4218,4218.5,2.31,1.26,1.33,2.8,6.8,30.9,0
13-36,4220.6,4221,6.62,2.61,0.14,2.81,6.7,7.3,0
13-37,4221.2,4221.8,7.72,7.4,0.06,2.8,6.5,21.4,0
13-38,4222.2,4222.8,1.77,1.67,0.01,2.8,7.5,24.2,0
13-40,4224.3,4225,62.51,62.48,3.11,2.62,2.7,27.6,0
13-41,4225,4225.3,317.43,124.62,70.71,2.61,4.5,23.9,0
13-42,4226.5,4226.8,21.04,15.55,4.66,2.81,6.7,10.9,0
13-44,4228,4228.4,305.51,242.41,0.79,2.8,4.8,39.3,0
13-46,4230.5,4231,219.72,66.64,<.01,2.81,2.6,29,0
13-47,4231,4231.45,138.27,92.37,4.04,2.77,5,33.6,0
13-48,4232.5,4233,1.8,0.49,0.14,2.78,7,18.6,0
