S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
13-1,5238.3,5238.8,0.717,0.121,<.001,2.64,0.6,92,0
13-2,5239.65,5240.25,1.363,0.05,<.001,2.69,0.8,94.8,0
13-6,5255.85,5266.5,333.35,,13.883,2.68,16.1,42.3,28.8
13-9,5256.9,5257.8,1793.952,,17.673,2.67,17.8,44.3,26.4
13-14,5258.4,5258.95,2671.62,,732.225,2.66,17.3,34.7,27.7
14-3,5258.95,5259.8,1023.201,,68.689,2.67,16.3,35.4,28.3
14-4,5261.4,5262.3,1457.864,,218.835,2.65,16.6,31.6,26.5
14-8,5262.3,5262.9,2107.152,,24.251,2.75,17,36.9,28
14-10,5262.9,5263.8,1907.471,,187.267,2.66,17.8,34.8,25.7
14-12,5263.9,5264.8,587.844,,272.581,2.74,18.1,38.8,27.5
14-15,5265.4,5266,625.572,,144.204,2.64,19.2,38.6,29.9
15-2,5266,5266.9,549.529,,214.174,2.65,18,38.2,27.7
15-5,5267.35,5268.1,1332.29,,12.132,2.64,16.2,33.3,29.2
15-7,5268.4,5269.2,337.206,,173.353,2.76,17.8,31.5,29.4
15-9,5271,5271.9,281.762,,16.32,2.63,16.9,38.9,26.8
15-12,5274.8,5275.4,540.125,,67.453,2.64,19,40.7,29.4
15-15,5275.7,5276.4,307.405,,175.422,2.68,18.1,41.7,28.7
15-17,5276.7,5277.6,235.129,,139.061,2.69,18.6,49.4,26.4
15-20,5278.9,5279.5,472.743,,131.477,2.68,17.6,61.3,20.2
15-23,5281.65,5282.55,1025.558,,851.621,2.77,19,62.1,15.6
15-25,5286.3,5281.1,571.87,,13.894,2.73,11.9,74,10.9
15-27,5301.65,5302.55,0.03,0.012,<.001,2.78,1.9,80.1,0
15-30,5401.05,5401.55,0.057,,0.035,2.71,1.5,49.8,0
15-33,5402.45,5403.3,7.368,0.574,4.283,2.71,1.8,67,0
15-36,5420.7,5421.6,0.237,0.121,<.001,2.71,1.8,65.3,0
15-38,5423.1,5423.9,0.54,0.09,0.023,2.71,1.7,72.2,0
15-39,5424.55,5425.45,<.0001,<.0001,<.001,2.67,7.7,79.9,Tr
15-43,5442.95,5443.2,10.769,3.199,0.001,2.7,3.3,99.6,0
15-46,5479.6,5480.5,0.646,0.154,<.001,2.71,1.7,67.7,0
15-49,5480.95,5481.5,0.226,0.19,<.001,2.67,5.7,52.1,12.7
15-53,5481.8,5482.6,1.311,0.902,<.001,2.69,5,71.6,6.1
15-59,5497.9,5498.5,0.017,0.003,<.001,2.69,1.3,98.2,0
16-1,5509.8,5510,0.179,0.115,<.001,2.71,2,97.1,0
16-6,5518.5,5518.7,4.615,0.292,<.001,2.69,1,97.7,0
16-12,5524.7,5525.4,0.028,0.023,<.001,2.69,1.1,95.8,0
16-16,5526.5,5527.25,0.125,,<.001,2.69,1.8,43.3,10.2
16-18,5531.1,5531.75,8.652,5.166,2.668,2.69,4.9,16.7,16.4
16-20,5546.3,5547.2,0.006,0.004,<.001,2.7,1,93.8,0
16-23,5557.1,5558,0.158,0.092,<.001,2.74,8.3,92.3,0
16-25,5560.75,5561.3,1.721,1.606,0.003,2.65,17.3,78.2,9.6
16-28,5562.05,5562.8,1.464,1.375,0.009,2.64,16,66.2,15.7
16-31,5564.45,5565.3,0.769,0.683,0.012,2.65,18,79.1,0
16-34,5567.65,5568.35,0.87,0.778,0.006,2.67,14.6,79.4,8.5
16-37,5573.3,5574.2,0.819,0.812,0.003,2.62,14.5,73.1,9.9
16-39,5575.1,5576,0.916,0.803,0.002,2.63,16.2,74.7,14.8
16-42,5576.1,5577,0.517,0.475,<.001,2.63,13.6,83.9,Tr
16-45,5578.7,5579.3,3.34,0.163,<.001,2.69,1.6,96.9,Tr
16-47,5582.2,5583.1,0.356,0.215,<.001,2.69,1.7,98.8,0
18-2,5584.45,5585.3,0.014,0.003,<.001,2.68,3,89.5,0
18-4,5586.7,5587.6,0.005,0.005,<.001,2.7,3.4,79.9,0
18-7,5589.2,5589.8,0.01,0.007,<.001,2.69,2.2,89.3,0
18-12,5590.1,5590.85,0.334,0.107,<.001,2.7,2.9,84.6,0
18-15,5592.9,5593.8,0.006,0.004,<.001,2.69,2.5,95.1,0
18-17,5597.95,5598.55,3.347,0.589,<.001,2.68,3.4,64.6,0
18-20,5600.6,5601.05,4.148,0.191,<.001,2.69,3.4,61.4,0
18-21,5604.4,5605.1,0.037,0.029,<.001,2.69,2.7,73.1,0
18-23,5607,5607.4,0.023,0.017,<.001,2.69,3.3,68.6,0
18-26,5608.2,5608.6,0.036,0.017,<.001,2.69,3.6,64.6,0
18-33,5608.8,5609.6,0.009,0.009,0.003,2.68,2.3,84.5,0
18-39,5610.8,5611.3,0.027,0.025,<.001,2.66,1.6,76.9,0
18-40,5611.6,5612.5,2.686,2.658,<.001,2.64,7.5,17.6,14.7
18-42,5612.6,5613.5,7.759,3.708,7.077,2.64,8.4,16.4,13.6
18-44,5614.2,5615.1,0.953,0.571,<.001,2.66,3.3,30.9,15.3
18-46,5615.4,5615.9,1.156,0.962,0.001,2.69,7.3,61.5,Tr
18-48,5617.4,5617.9,1.535,0.861,0.007,2.65,6.2,28.3,19.9
18-52,5619.85,5620.3,0.346,,0.004,2.64,7.3,33.5,14.5
18-54,5621.4,5622,3.002,2.852,0.002,2.65,7.7,28.4,15.3
18-56,5623.4,5623.9,1.059,,0.013,2.64,7.3,24.9,15
19-1,5626.8,5627.2,37.202,2.464,11.527,2.64,6.6,27.7,14.9
19-4,5627.8,5628.7,2.209,2.16,0.004,2.64,6.7,27.6,15.8
19-7,5630.2,5631.1,4.871,4.713,4.182,2.65,9,21.6,15.7
19-12,5631.3,5632.2,2.405,2.036,0.022,2.64,8.6,30.9,15
19-15,5633.5,5634.4,0.355,0.33,<.001,2.63,5.3,63.3,9.8
19-20,5635.5,5636.4,0.041,0.041,<.001,2.66,3,75,5.6
20-2,5646.2,5646.7,0.616,0.583,<.001,2.81,4.6,98.3,0
20-4,5652.7,5653.6,0.001,0.001,<.001,2.69,0.5,99.4,0
