DEPT.F,GR son ,DTC .uspf ,PHISD,DEPT,NPHI,NPHD,DPHD,CALI,GR,GRTO,GRTC,POTA,URAN,THOR,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,CBW,BVI,FF,PHIe,PHItmri,PHIs,PHIr
4162,46.65679932,82.71459961,26.95161485,4162,11.6394,10.1576,25.3423,7.9568,43.2721,31.3693,26.0921,1.1695,1.1388,3.0211,0.6208,1.5194,0.4935,0.8917,5.0395,4.336,0.9649,0.2309,0.0929,0.0565,2.1151,5.1533,8.2041,13.3574,15.4725,26.95161485,19.32163803
4162.5,44.72079849,80.25730133,25.26275006,4162.5,10.7674,9.3139,24.8825,7.9612,41.8625,31.8034,25.8415,1.1578,1.2329,2.9946,0.3543,1.4306,0.5052,0.7516,4.9854,4.9111,1.182,0.2463,0.1515,0.1625,0.8882,4.8172,9.3195,14.1367,15.0249,25.26275006,17.88564709
4163,41.58980179,76.3085022,22.54879876,4163,9.308,7.8968,21.5796,7.9145,44.9851,33.1797,25.8887,1.1571,1.4168,3.0133,0.2378,1.1447,0.6016,0.6897,3.8318,5.0402,1.9571,0.2505,0.1866,0.5208,0.3807,4.048,10.0753,14.1233,14.504,22.54879876,16.49369993
4163.5,42.02280045,72.27890015,19.77931282,4163.5,8.5058,7.1151,16.3799,7.8851,50.9063,32.6654,24.4791,1.0837,1.5236,2.8986,0.2181,0.9161,0.8828,0.6742,2.6764,4.8146,2.3605,0.3175,0.3813,0.7841,0.3328,3.0185,10.6041,13.6226,13.9554,19.77931282,15.46078758
4164,46.81669998,69.08860016,17.58666678,4164,9.4773,8.0615,12.9032,7.8346,45.2553,28.9767,20.8025,0.9003,1.4634,2.5612,0.3789,0.555,0.9367,0.6035,1.2361,3.9322,2.8399,0.8569,0.8773,0.9909,0.4632,1.8251,11.0198,12.8449,13.3081,17.58666678,14.57144117
4164.5,45.59339905,65.38469696,15.04102884,4164.5,11.1429,9.6775,12.4823,7.7887,29.7629,23.1,15.8812,0.6615,1.2576,2.0775,0.4722,0.476,0.544,0.4418,0.7516,3.1813,2.899,1.5642,1.3966,0.8948,0.6059,1.0169,11.1388,12.1557,12.7616,15.04102884,13.84906234
4165,33.30260086,61.99739838,12.71298857,4165,11.1017,9.6376,13.5111,7.8276,21.4753,17.6636,11.6956,0.4631,1.0171,1.6441,0.5542,0.4209,0.1397,0.1054,0.3293,2.3372,2.7605,2.9101,2.1309,0.5221,0.8264,0.5231,11.2263,11.7494,12.5757,12.71298857,13.64490397
4165.5,20.93190002,59.81809998,11.21518899,4165.5,11.0356,9.5736,14.4414,7.8167,21.3215,15.5401,9.8183,0.3681,0.9551,1.4782,0.7429,0.2231,0.0619,0.0213,0.1306,1.6393,3.0461,3.9497,2.2136,0.271,1.1572,0.2263,11.4965,11.7228,12.88,11.21518899,13.67574497
4166,16.58760071,58.79169846,10.50975839,4166,11.0426,9.5804,14.806,7.8264,23.4853,15.6333,9.2133,0.3373,1.0411,1.4258,0.5056,0.1277,0.3023,0.045,0.0302,0.688,3.5998,5.2875,1.8076,0.0792,1.3238,0.0967,11.9387,12.0354,13.3592,10.50975839,13.58217418
4166.5,19.87269974,58.35720062,10.21113445,4166.5,10.3661,8.9248,14.7891,7.863,24.831,16.3356,8.7597,0.3188,1.2046,1.3645,0.3025,0.1759,0.5855,0.0495,0.0083,0.2794,3.8423,6.0267,1.3668,0.0221,1.3004,0.0863,12.3422,12.4285,13.7289,10.21113445,13.73874468
