DEPT.F,CALI,SGR,CGR,POTA,THOR,URAN,NPHL,DLIM,RHOB,PEF,PHIS,RT,RXO,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,PHItmri,DEPT
3900,7.912,20.1048,3.4837,0.1024,0.616,1.6723,14.09,6.32,2.602,3.3808,7.867349823,2.2545,25.1651,0.0001,0.0095,0.3506,0.2516,0.0649,1.0569,3.8341,4.0636,2.0031,0.3211,11.9555,3900
3900.5,7.8846,23.2365,4.1201,0.1274,0.6986,1.9145,14.42,7.04,2.5895,3.3362,9.202756184,1.966,22.0994,0.0062,0.0115,0.5103,0.2715,0.106,1.4981,4.1871,4.3389,1.829,0.2105,12.9691,3900.5
3901,7.8921,28.4898,5.2914,0.1667,0.8828,2.3072,16.06,7.49,2.5819,3.2836,10.2604947,1.7355,19.9512,0.0215,0.0197,0.4873,0.4977,0.2259,1.7533,4.8465,4.8419,1.4388,0.0596,14.1922,3901
3901.5,7.8857,32.4372,6.382,0.2013,1.0637,2.5648,16.68,8.77,2.56,3.2578,10.83074205,1.5376,18.0868,0.0196,0.0417,0.5285,0.7168,0.2469,1.8717,5.8453,5.1635,1.0588,0.0115,15.5043,3901.5
3902,7.8709,33.1094,6.696,0.2067,1.1377,2.5861,18.57,12.32,2.4993,3.3013,11.07257951,1.3791,16.576,0.0086,0.0291,0.6537,0.6936,0.1756,2.1851,6.6063,5.2603,0.9312,0.0085,16.552,3902
3902.5,7.8447,30.6915,6.0672,0.1874,1.0305,2.4196,19.74,14.83,2.4565,3.324,11.26113074,1.2645,15.7879,0.0541,0.0276,0.614,0.544,0.1111,2.5505,7.0033,5.1797,1.0612,0.029,17.1745,3902.5
3903,7.858,28.2391,5.3549,0.1644,0.9142,2.2727,19.4,14.71,2.4584,3.2757,11.52756184,1.1706,15.3383,0.1289,0.0635,0.3705,0.4322,0.1,2.7174,7.2954,5.098,1.1661,0.1199,17.4919,3903
3903.5,7.8656,26.8714,4.8545,0.1504,0.8225,2.2067,17.89,13.29,2.4827,3.3131,11.97858657,1.0883,15.0088,0.0863,0.0697,0.359,0.3773,0.0593,2.5876,7.5752,5.1685,1.1865,0.2182,17.6876,3903.5
3904,7.867,25.6926,4.4102,0.1398,0.7327,2.1462,17.08,12.02,2.5044,3.4588,12.63328622,0.9972,13.5132,0.0239,0.0194,0.4755,0.4425,0.0179,2.1468,7.9702,5.7377,1.0388,0.139,18.0117,3904
3904.5,7.8652,23.5694,3.954,0.1286,0.6415,1.9811,17.28,12.92,2.4891,3.4766,13.5530742,0.9147,11.6667,0.0071,0.0012,0.5046,0.423,0.0114,2.0395,8.3995,6.1543,1.0616,0.1366,18.7388,3904.5
3905,7.8558,22.2906,3.6315,0.1191,0.5844,1.8913,19.83,16.01,2.4362,3.3131,14.86812721,0.8399,9.7984,0.0324,0.0048,0.3353,0.4516,0.0495,2.1532,8.8147,6.7521,1.1559,0.0689,19.8184,3905
3905.5,7.8328,22.1125,3.5258,0.119,0.5517,1.8854,22.73,18.81,2.3883,3.1784,16.07908127,0.7743,8.188,0.0581,0.0083,0.1692,0.5744,0.1471,2.3595,9.3398,7.3141,1.1586,0.014,21.1431,3905.5
3906,7.8227,23.881,3.8737,0.1309,0.6053,2.0252,23.73,20.26,2.3635,3.1194,17.35674912,0.725,7.1956,0.023,0.0019,0.0965,0.8057,0.2402,2.546,10.2101,7.6449,0.9494,0.0022,22.5199,3906
3906.5,7.8061,25.6268,4.1701,0.1433,0.6401,2.1695,24.58,20.81,2.3542,3.0581,18.93279152,0.6863,6.4982,0.0059,0.0005,0.1039,0.9166,0.2323,2.9297,11.144,7.6141,0.7125,0.0002,23.6597,3906.5
3907,7.7974,27.2524,4.3461,0.1522,0.6536,2.3193,26.73,21.28,2.3462,2.9923,20.05809187,0.6561,5.9927,0.0026,0.0096,0.0928,0.8089,0.2636,3.4526,11.8887,7.3102,0.5645,0,24.3935,3907
3907.5,7.8077,27.6446,4.3324,0.1549,0.6367,2.3681,27.25,22.93,2.3179,2.9211,20.89759717,0.6334,5.647,0.0052,0.0224,0.1043,0.686,0.3081,3.9001,12.3432,6.9482,0.4437,0,24.7612,3907.5
3908,7.7958,28.18,4.1988,0.1529,0.6054,2.4526,28.63,24.8,2.2859,2.8766,21.66466431,0.6205,5.5407,0.0031,0.0092,0.1923,0.6771,0.3483,4.2779,12.4951,6.4686,0.341,0,24.8126,3908
3908.5,7.7939,28.8799,4.2509,0.1513,0.6296,2.5257,26.08,24.33,2.2939,3.0043,22.15667845,0.6177,5.6736,0.0011,0.0018,0.2901,0.5573,0.2726,4.8563,12.4219,5.7249,0.2276,0,24.3536,3908.5
3909,7.7898,30.0962,4.4849,0.15,0.7101,2.6346,23.5,22.13,2.3316,3.3279,22.3155477,0.6202,5.9025,0.0033,0.0089,0.2551,0.2884,0.2267,5.6143,12.1155,4.816,0.1305,0.0001,23.4588,3909
3909.5,7.7962,31.8706,4.9438,0.1553,0.8304,2.7774,22.04,20.88,2.353,3.7231,22.22869258,0.6249,6.1462,0.0045,0.0266,0.1721,0.0779,0.3363,6.4499,11.4718,3.9435,0.0771,0.0065,22.5662,3909.5
3910,7.8156,33.1252,5.3991,0.1627,0.9395,2.8738,22.11,20.41,2.3609,4.0445,21.94982332,0.6314,6.3973,0.0101,0.0367,0.1811,0.046,0.5385,7.1096,10.6883,3.2032,0.0493,0.0355,21.8983,3910
3910.5,7.8232,34.3033,5.7904,0.1701,1.0282,2.9694,21.44,19.59,2.3751,4.1084,21.45243816,0.6388,6.6382,0.0474,0.1144,0.2693,0.0712,0.734,7.4192,10.0326,2.7919,0.034,0.0297,21.5437,3910.5
3911,7.8422,34.4067,5.6718,0.1703,0.9899,3.0179,20.89,19.11,2.3833,4.0376,20.81646643,0.6475,6.8796,0.069,0.1878,0.3086,0.1159,0.9203,7.4835,9.5522,2.6487,0.0325,0.0084,21.3269,3911
3911.5,7.8221,34.3046,5.6055,0.1731,0.9556,3.0403,20.18,19.71,2.373,4.0741,20.26021201,0.6563,7.0961,0.0192,0.0696,0.2807,0.3374,1.0589,7.4555,9.287,2.5079,0.0307,0.0034,21.0503,3911.5
3912,7.8068,33.9829,5.5253,0.1755,0.9186,3.0392,20.78,20.72,2.3557,4.1405,19.89632509,0.6644,7.2356,0,0.0033,0.3538,0.5755,1.1741,7.6985,8.8273,2.3428,0.0476,0.0003,21.0232,3912
